,run,lambda,mu,c,Wq,Lq
56,16,2.4000000000000004,0.8333333333333334,3,7.485165016800887,17.90226702383693
57,17,2.4000000000000004,0.8333333333333334,3,6.631814278224271,15.930660387009977
58,18,2.4000000000000004,0.8333333333333334,3,8.941976768837618,21.512134625609153
59,19,2.4000000000000004,0.8333333333333334,3,5.928370952993366,14.268984891776645
60,0,3.2,0.8333333333333334,4,5.355053945830136,17.11707323158989
61,1,3.2,0.8333333333333334,4,6.29269140326259,20.144018187170467
62,2,3.2,0.8333333333333334,4,13.396514764330938,42.6517568829205
63,3,3.2,0.8333333333333334,4,6.538462675127548,20.827675880691423
64,4,3.2,0.8333333333333334,4,4.5259440052880064,14.386165615208341
65,5,3.2,0.8333333333333334,4,9.717333920123243,30.91568285706407
66,6,3.2,0.8333333333333334,4,4.3932833311155495,13.98909278293811
67,7,3.2,0.8333333333333334,4,10.093921302508374,32.796642668537494
68,8,3.2,0.8333333333333334,4,5.050662739863878,16.292441245618004
69,9,3.2,0.8333333333333334,4,4.921731557709891,15.742871293833256
70,10,3.2,0.8333333333333334,4,11.658788993844595,37.737540052231175
71,11,3.2,0.8333333333333334,4,9.50448082527688,30.836337068193405
72,12,3.2,0.8333333333333334,4,4.654225191419906,14.806937196602965
73,13,3.2,0.8333333333333334,4,6.423569414457849,20.3434443355881
74,14,3.2,0.8333333333333334,4,6.610082998671925,21.115031496200608
75,15,3.2,0.8333333333333334,4,7.838822045766423,25.095010086302455
76,16,3.2,0.8333333333333334,4,11.985275232454686,38.62921293753227
77,17,3.2,0.8333333333333334,4,4.564767135619346,14.545856727932856
78,18,3.2,0.8333333333333334,4,4.47789937134667,14.333757470130385
79,19,3.2,0.8333333333333334,4,3.8315477316264857,12.228056475953784
80,0,4.0,0.8333333333333334,5,3.473225395079383,13.842140602870856
81,1,4.0,0.8333333333333334,5,3.7773481614027187,15.070096143289181
82,2,4.0,0.8333333333333334,5,3.2176375100830064,12.840463813121614
83,3,4.0,0.8333333333333334,5,8.20963171946354,32.75011555505894
84,4,4.0,0.8333333333333334,5,4.215021597612303,16.730077940596797
85,5,4.0,0.8333333333333334,5,3.803130579422241,14.92272376753692
86,6,4.0,0.8333333333333334,5,4.528285531964263,18.09457780146452
87,7,4.0,0.8333333333333334,5,3.959149081484466,15.883831800081138
88,8,4.0,0.8333333333333334,5,4.14731662229233,16.693777054963412
89,9,4.0,0.8333333333333334,5,7.177328644480127,28.96756872466016
90,10,4.0,0.8333333333333334,5,7.668598119885338,31.016411955687946
91,11,4.0,0.8333333333333334,5,8.719340526016147,35.05438359892524
92,12,4.0,0.8333333333333334,5,3.9871490609763858,15.889418420899696
93,13,4.0,0.8333333333333334,5,5.856154466077397,23.370831780931173
94,14,4.0,0.8333333333333334,5,6.628128118949744,26.600583685868617
95,15,4.0,0.8333333333333334,5,4.543007893428043,18.1257380863363
96,16,4.0,0.8333333333333334,5,5.527980915414803,22.20361547467846
97,17,4.0,0.8333333333333334,5,9.945719603445687,40.38250827914275
98,18,4.0,0.8333333333333334,5,6.365001711566486,25.605879871589735
99,19,4.0,0.8333333333333334,5,6.648192235414288,26.77094049356653
100,0,4.800000000000001,0.8333333333333334,6,3.5601334193530048,16.99426457444232
101,1,4.800000000000001,0.8333333333333334,6,5.330836143205664,25.496653102897827
102,2,4.800000000000001,0.8333333333333334,6,3.3904072257673024,16.2928113433102
103,3,4.800000000000001,0.8333333333333334,6,5.571873181048603,26.83866634984031
104,4,4.800000000000001,0.8333333333333334,6,5.120582250266734,24.563017135769147
105,5,4.800000000000001,0.8333333333333334,6,3.2883974638682583,15.53899337576303
106,6,4.800000000000001,0.8333333333333334,6,6.893292007473411,33.2112174584991
107,7,4.800000000000001,0.8333333333333334,6,3.9026674400930204,18.67041648745626
108,8,4.800000000000001,0.8333333333333334,6,3.0337693287490097,14.588562348203814
109,9,4.800000000000001,0.8333333333333334,6,4.184363520712651,20.023086849007672
110,10,4.800000000000001,0.8333333333333334,6,4.64745662208202,22.383080583271415
111,11,4.800000000000001,0.8333333333333334,6,4.205792869126307,20.262566635276652
112,12,4.800000000000001,0.8333333333333334,6,3.3579238578073656,16.175313122813876
113,13,4.800000000000001,0.8333333333333334,6,2.5819615918944048,12.284924296517426
114,14,4.800000000000001,0.8333333333333334,6,6.691718239151896,32.475989364310955
115,15,4.800000000000001,0.8333333333333334,6,3.6132488078913063,17.362729309734306
116,16,4.800000000000001,0.8333333333333334,6,4.576208284345006,21.954684845514013
117,17,4.800000000000001,0.8333333333333334,6,4.910476618028944,23.778587915122376
118,18,4.800000000000001,0.8333333333333334,6,3.164561364708736,15.150385372886467
119,19,4.800000000000001,0.8333333333333334,6,6.553763534979477,31.714441316527424
120,0,5.6000000000000005,0.8333333333333334,7,5.882046772444571,33.17375934808566
121,1,5.6000000000000005,0.8333333333333334,7,3.2776788908796117,18.211677298511994
122,2,5.6000000000000005,0.8333333333333334,7,2.9725672692617433,16.50481624633684
123,3,5.6000000000000005,0.8333333333333334,7,5.344265206232139,29.979482041950348
124,4,5.6000000000000005,0.8333333333333334,7,3.7830570873077694,21.133019071908873
125,5,5.6000000000000005,0.8333333333333334,7,4.260053663786534,23.80627904420965
126,6,5.6000000000000005,0.8333333333333334,7,3.6023434792469895,20.148627548124107
127,7,5.6000000000000005,0.8333333333333334,7,5.705888996755243,32.35958955624833
128,8,5.6000000000000005,0.8333333333333334,7,3.7157453128070896,21.018976544057768
129,9,5.6000000000000005,0.8333333333333334,7,2.7889891991528875,15.639202209250412
130,10,5.6000000000000005,0.8333333333333334,7,4.556641594570223,25.811042924066882
131,11,5.6000000000000005,0.8333333333333334,7,4.200237170596483,23.58649355989837
132,12,5.6000000000000005,0.8333333333333334,7,2.4877780156660907,13.919017548659832
133,13,5.6000000000000005,0.8333333333333334,7,2.4052675492354116,13.355872867593256
134,14,5.6000000000000005,0.8333333333333334,7,3.6717402663255414,20.525762436812997
135,15,5.6000000000000005,0.8333333333333334,7,3.0211841342145527,16.87914302963428
136,16,5.6000000000000005,0.8333333333333334,7,2.747394802695315,15.290915281967797
137,17,5.6000000000000005,0.8333333333333334,7,2.856225490184362,15.96751772035599
138,18,5.6000000000000005,0.8333333333333334,7,3.045041299526572,17.087351305064036
139,19,5.6000000000000005,0.8333333333333334,7,4.690716982461955,26.474325929854498
140,0,6.4,0.8333333333333334,8,3.387948817783514,21.74591080310777
141,1,6.4,0.8333333333333334,8,2.6918815851047326,17.025382236270715
142,2,6.4,0.8333333333333334,8,3.71095221971233,23.737476968612196
143,3,6.4,0.8333333333333334,8,2.830494100216561,18.1556313428569
144,4,6.4,0.8333333333333334,8,3.3684462123524472,21.470476157534737
145,5,6.4,0.8333333333333334,8,2.822647079185087,17.981958289188196
146,6,6.4,0.8333333333333334,8,2.963959669252158,18.987595366924438
147,7,6.4,0.8333333333333334,8,2.7199656000370425,17.61855248991625
148,8,6.4,0.8333333333333334,8,2.0833185238565632,13.355417335676087
149,9,6.4,0.8333333333333334,8,3.844386599148416,24.619801844221204
150,10,6.4,0.8333333333333334,8,3.7034755943839373,23.844356189396176
151,11,6.4,0.8333333333333334,8,4.070481823982084,26.228968332319823
152,12,6.4,0.8333333333333334,8,2.163639059423259,13.81068967841968
153,13,6.4,0.8333333333333334,8,1.8325417640362824,11.593593010562877
154,14,6.4,0.8333333333333334,8,3.2389664910475258,20.77883345680097
155,15,6.4,0.8333333333333334,8,2.7738852665670786,17.723969355853505
156,16,6.4,0.8333333333333334,8,2.293999827510889,14.48827103487543
157,17,6.4,0.8333333333333334,8,2.5590513267016597,16.450604424448557
158,18,6.4,0.8333333333333334,8,2.8956421357354207,18.544210421277832
159,19,6.4,0.8333333333333334,8,2.2720109287342973,14.65138631074992
160,0,7.2,0.8333333333333334,9,2.220083579348454,15.953215712700697
161,1,7.2,0.8333333333333334,9,3.1698669317480417,22.72541000708806
162,2,7.2,0.8333333333333334,9,2.6748627947623884,19.208070693275953
163,3,7.2,0.8333333333333334,9,2.603091922469014,18.731844690755228
164,4,7.2,0.8333333333333334,9,3.1362237675931053,22.5099324695228
165,5,7.2,0.8333333333333334,9,3.4052358007950887,24.536767086209494
166,6,7.2,0.8333333333333334,9,3.005315696121905,21.695590612373138
167,7,7.2,0.8333333333333334,9,2.081841001151743,15.073364029262294
168,8,7.2,0.8333333333333334,9,2.845361210640675,20.56981738800374
169,9,7.2,0.8333333333333334,9,3.4086951944298884,24.626262173875688
170,10,7.2,0.8333333333333334,9,3.2027898560209245,23.19786499607074
171,11,7.2,0.8333333333333334,9,2.7737934378553706,20.031226690816105
172,12,7.2,0.8333333333333334,9,1.7432370697421862,12.539531326298965
173,13,7.2,0.8333333333333334,9,2.4926379429665344,18.00366564363317
174,14,7.2,0.8333333333333334,9,2.7803074488146553,20.08793038239958
175,15,7.2,0.8333333333333334,9,3.8835522285970643,28.02306421290214
176,16,7.2,0.8333333333333334,9,2.865713568381415,20.546482362966227
177,17,7.2,0.8333333333333334,9,3.401498915971694,24.711991597194128
178,18,7.2,0.8333333333333334,9,1.786442823940644,12.83845702299306
179,19,7.2,0.8333333333333334,9,2.842166217667401,20.54392528384154
180,0,8.0,0.8333333333333334,10,2.5838971706866722,20.78428214521327
181,1,8.0,0.8333333333333334,10,1.8788303257736667,14.899406139795449
182,2,8.0,0.8333333333333334,10,2.3573188903044815,18.78405984550223
183,3,8.0,0.8333333333333334,10,2.7139358506930784,21.849803646606745
184,4,8.0,0.8333333333333334,10,2.2864681911233546,18.158933953521572
185,5,8.0,0.8333333333333334,10,1.763818916011983,14.043470962002235
186,6,8.0,0.8333333333333334,10,1.9056652798450269,15.153469172271615
187,7,8.0,0.8333333333333334,10,2.6082359848611407,20.939537235315022
188,8,8.0,0.8333333333333334,10,2.221084033937621,17.865133594758746
189,9,8.0,0.8333333333333334,10,2.7935410449716476,22.47361894743469
190,10,8.0,0.8333333333333334,10,2.5640718683874493,20.684619210079404
191,11,8.0,0.8333333333333334,10,3.171770305074847,25.597822152121616
192,12,8.0,0.8333333333333334,10,2.153086073594885,17.27444853785175
193,13,8.0,0.8333333333333334,10,2.3220347934087417,18.551664778459784
194,14,8.0,0.8333333333333334,10,2.704687069499127,21.718381964185014
195,15,8.0,0.8333333333333334,10,2.0436131404798306,16.2582521289476
196,16,8.0,0.8333333333333334,10,2.2870319537582726,18.205871638736745
197,17,8.0,0.8333333333333334,10,2.270873692269143,18.251376939585114
198,18,8.0,0.8333333333333334,10,2.427355173058046,19.558118759902317
199,19,8.0,0.8333333333333334,10,2.642602230544341,21.2856538008869
