,run,lambda,mu,c,Wq,Lq
34,14,1.3333333333333333,0.8333333333333334,2,1.9195096305664745,2.487044644670621
35,15,1.3333333333333333,0.8333333333333334,2,2.1752945520550004,2.8866158705770015
36,16,1.3333333333333333,0.8333333333333334,2,1.9191760916341203,2.537150793140298
37,17,1.3333333333333333,0.8333333333333334,2,2.1053005771266715,2.8161904053364344
38,18,1.3333333333333333,0.8333333333333334,2,1.5060778304949718,1.9885247621968563
39,19,1.3333333333333333,0.8333333333333334,2,2.240895231740499,3.05329161567825
40,0,2.0,0.8333333333333334,3,1.3025408569200294,2.609423516696464
41,1,2.0,0.8333333333333334,3,1.5436732998445826,3.0868320419225572
42,2,2.0,0.8333333333333334,3,1.369300082225465,2.773415695646664
43,3,2.0,0.8333333333333334,3,1.4034229213686116,2.8349143011645688
44,4,2.0,0.8333333333333334,3,1.31407182437432,2.6097466432074063
45,5,2.0,0.8333333333333334,3,1.1157571061949425,2.1880416027593226
46,6,2.0,0.8333333333333334,3,1.2734190914541297,2.5511505365201046
47,7,2.0,0.8333333333333334,3,0.9096302590762737,1.7904555599484664
48,8,2.0,0.8333333333333334,3,1.1276383061645479,2.2607286976401975
49,9,2.0,0.8333333333333334,3,1.3080333204770824,2.6592089995319794
50,10,2.0,0.8333333333333334,3,1.3076525609701162,2.660637077387188
51,11,2.0,0.8333333333333334,3,1.0995115947610268,2.173001415112704
52,12,2.0,0.8333333333333334,3,1.015967464599046,2.0019544816188293
53,13,2.0,0.8333333333333334,3,1.4933258027166187,3.011325911957557
54,14,2.0,0.8333333333333334,3,1.2587168322770919,2.4583509871246934
55,15,2.0,0.8333333333333334,3,1.999725726866551,3.9741215945261343
56,16,2.0,0.8333333333333334,3,1.2291311272567558,2.4226174518230645
57,17,2.0,0.8333333333333334,3,1.4040793743243805,2.807828847169015
58,18,2.0,0.8333333333333334,3,1.2356196920980729,2.5036194475100473
59,19,2.0,0.8333333333333334,3,0.9939444369021977,1.9670691683282184
