;run;lambda;mu;c;Wq;Lq;Ws;Ls
114;24;2.6666666666666665;0.8333333333333334;4;0.00299900836164662;0.002023370961435732;1.1967930328805194;0.8074523234238237
115;25;2.6666666666666665;0.8333333333333334;4;0.003108801269928148;0.0020450938274095393;1.2029606347921071;0.7913452467006298
116;26;2.6666666666666665;0.8333333333333334;4;0.0030831526821619324;0.0020565861651092947;1.197901532066742;0.7990482379497983
117;27;2.6666666666666665;0.8333333333333334;4;0.003370324152399062;0.0022229309979563175;1.2057387813201348;0.795257070607505
118;28;2.6666666666666665;0.8333333333333334;4;0.0035972232184626296;0.0023935923295650354;1.1948025617241675;0.7950216245712559
119;29;2.6666666666666665;0.8333333333333334;4;0.0030174740615723224;0.0020110257630754696;1.2022868354827683;0.801276084375848
120;0;3.333333333333333;0.8333333333333334;5;0.00039643497663873704;0.00026387504915027364;1.1927166982931896;0.7938960887179157
121;1;3.333333333333333;0.8333333333333334;5;0.0004346120538547306;0.0002860268848828776;1.2006260839470586;0.7901554239818454
122;2;3.333333333333333;0.8333333333333334;5;0.0002248932741275246;0.00014894231758917748;1.1950345040666999;0.7914307296641224
123;3;3.333333333333333;0.8333333333333334;5;0.0002973727412290014;0.00019913862989141219;1.207613165772123;0.8086902325909604
124;4;3.333333333333333;0.8333333333333334;5;0.0003999901935049643;0.0002634015422268878;1.1965020142825724;0.7878763831647335
125;5;3.333333333333333;0.8333333333333334;5;0.0003165744154013512;0.0002095279425775377;1.1967120822938881;0.7920558587870378
126;6;3.333333333333333;0.8333333333333334;5;0.0004515043339657979;0.00030176743664938525;1.2049642966891962;0.805286720224864
127;7;3.333333333333333;0.8333333333333334;5;0.00038430633821338764;0.000258438326321738;1.1985174376290453;0.8059554134751723
128;8;3.333333333333333;0.8333333333333334;5;0.0005474110755792004;0.0003677945534601514;1.2034375540700095;0.8085656238285595
129;9;3.333333333333333;0.8333333333333334;5;0.00039539426865613404;0.0002647560022921464;1.2015739131849446;0.8045353257140756
130;10;3.333333333333333;0.8333333333333334;5;0.0005634051505838254;0.00037869840601642763;1.2032520172922916;0.8087751304133531
131;11;3.333333333333333;0.8333333333333334;5;0.0004840133121682325;0.0003234660965220322;1.1955805638427304;0.7989883974559061
132;12;3.333333333333333;0.8333333333333334;5;0.0005848599231365945;0.0003916923877230351;1.2011514944776867;0.8044006140486208
133;13;3.333333333333333;0.8333333333333334;5;0.0004057480398440616;0.0002706014827328021;1.1965566107851016;0.7980075348648014
134;14;3.333333333333333;0.8333333333333334;5;0.0005981518508364;0.0003986921346564939;1.1924780679987683;0.7948128713891497
135;15;3.333333333333333;0.8333333333333334;5;0.000417616558361761;0.00027803239989493016;1.1990068680383292;0.7981697448548278
